id,nama_lengkap,email,produk,jumlah_pembelian,tangga_transaksi
1,Flynn Fontel,ffontel0@digg.com,speaker,45,12/31/2023
2,Samson Ayshford,sayshford1@irs.gov,komputer,40,12/6/2024
3,Veriee MacPeice,vmacpeice2@intel.com,Headset,36,1/30/2024
4,Fulton Donizeau,fdonizeau3@ezinearticles.com,webcam,19,5/25/2024
5,Hirsch O'Hegertie,hohegertie4@statcounter.com,samrtphone,2,12/1/2023
6,Lianna MacCome,lmaccome5@etsy.com,mouse,26,2/29/2024
7,Daune Borgars,dborgars6@narod.ru,webcam,30,2/28/2024
8,Joice Aldrich,jaldrich7@ft.com,keyboard,23,1/1/2024
9,Lotte Claesens,lclaesens8@dion.ne.jp,microphone,20,1/22/2024
10,Doreen Bree,dbree9@abc.net.au,komputer,3,6/2/2024
11,Karoline Rea,kreaa@smh.com.au,mouse,28,9/13/2024
12,Karrah Skitral,kskitralb@soundcloud.com,webcam,17,4/24/2024
13,Timothy Firmager,tfirmagerc@huffingtonpost.com,samrtphone,42,3/16/2024
14,Ichabod Benford,ibenfordd@wsj.com,microphone,13,12/8/2023
15,Alvera Seleway,aselewaye@csmonitor.com,microphone,1,11/25/2024
16,Bord Chipchase,bchipchasef@4shared.com,speaker,13,6/22/2024
17,Addy Wallentin,awallenting@weather.com,Laptop,13,1/15/2024
18,Phoebe Espadater,pespadaterh@forbes.com,speaker,7,5/14/2024
19,Tracie Dunnion,tdunnioni@amazon.com,keyboard,30,10/16/2024
20,Jock Rookeby,jrookebyj@infoseek.co.jp,microphone,3,1/5/2024
21,Gordan Suffe,gsuffek@msu.edu,komputer,10,5/20/2024
22,Wendi Lester,wlesterl@naver.com,Headset,24,5/14/2024
23,Byron Niave,bniavem@answers.com,webcam,14,2/27/2024
24,Ellette Rozet,erozetn@clickbank.net,samrtphone,31,2/23/2024
25,Lian Morgen,lmorgeno@cbsnews.com,Headset,42,4/1/2024
26,Nona Spata,nspatap@smugmug.com,Headset,45,3/20/2024
27,Nissy Schaffel,nschaffelq@sitemeter.com,keyboard,27,4/22/2024
28,Merlina Hurford,mhurfordr@microsoft.com,keyboard,47,5/6/2024
29,Rich Schneidau,rschneidaus@pbs.org,Headset,22,7/23/2024
30,Darrelle Degan,ddegant@whitehouse.gov,samrtphone,24,2/5/2024
31,Maxwell Mayston,mmaystonu@nymag.com,webcam,10,2/13/2024
32,Osmond Spaduzza,ospaduzzav@paginegialle.it,mouse,18,11/26/2024
33,Dion Bubear,dbubearw@fda.gov,keyboard,37,7/2/2024
34,Helenelizabeth Bywaters,hbywatersx@w3.org,mouse,34,12/11/2023
35,Rod Idney,ridneyy@naver.com,keyboard,36,4/19/2024
36,Ariela O' Liddy,aoz@google.com.hk,webcam,13,8/6/2024
37,Uriel Dedenham,udedenham10@live.com,speaker,3,4/15/2024
38,Arlena Macci,amacci11@arstechnica.com,speaker,6,12/15/2023
39,Kahlil Coulter,kcoulter12@odnoklassniki.ru,microphone,13,4/17/2024
40,Allister Tatchell,atatchell13@yolasite.com,samrtphone,24,2/18/2024
41,Lana Gockeler,lgockeler14@e-recht24.de,samrtphone,28,2/1/2024
42,Byrom Cuddon,bcuddon15@booking.com,Headset,13,2/1/2024
43,Foster Matuszyk,fmatuszyk16@barnesandnoble.com,Headset,32,12/1/2023
44,Misti Marfell,mmarfell17@pen.io,komputer,45,8/3/2024
45,Caron Eardley,ceardley18@toplist.cz,webcam,3,4/8/2024
46,Roxi Crannach,rcrannach19@cocolog-nifty.com,speaker,5,6/25/2024
47,Averil Lunck,alunck1a@youtube.com,mouse,3,3/12/2024
48,Royce Millhouse,rmillhouse1b@mayoclinic.com,keyboard,42,4/27/2024
49,Tymon Daine,tdaine1c@360.cn,mouse,12,8/15/2024
50,Port Siddell,psiddell1d@123-reg.co.uk,Laptop,4,5/30/2024
51,Iain Rowsell,irowsell1e@plala.or.jp,mouse,38,4/1/2024
52,Gibby Lyford,glyford1f@bloomberg.com,Laptop,29,8/29/2024
53,Carlyle Hanney,channey1g@about.me,keyboard,9,5/12/2024
54,Erroll Ferrolli,eferrolli1h@woothemes.com,microphone,25,4/26/2024
55,Brady Stoffels,bstoffels1i@ning.com,microphone,27,7/5/2024
56,Eachelle Murfett,emurfett1j@newsvine.com,webcam,44,9/5/2024
57,Melosa Loidl,mloidl1k@goo.ne.jp,speaker,49,3/24/2024
58,Bobette Lyall,blyall1l@people.com.cn,samrtphone,29,3/28/2024
59,Barbee Bertomeu,bbertomeu1m@state.tx.us,Headset,1,10/16/2024
60,Eleni Toman,etoman1n@un.org,mouse,21,1/10/2024
61,Homere Seamons,hseamons1o@theglobeandmail.com,mouse,46,8/12/2024
62,Rennie Cardinale,rcardinale1p@businesswire.com,samrtphone,17,2/2/2024
63,Eduard Kerton,ekerton1q@sphinn.com,keyboard,40,4/8/2024
